TIMESTAMP,RECORD,BP_mbar_Max,BP_mbar_Min,Rain_mm_Tot,AirTC_Max,AirTC_Min,RH_Max,RH_Min,SlrkJ_Tot,TdC_Max,TdC_Min,AirTC_Avg,RH_Avg,WS_ms_Avg,SlrkJ_Avg,Eto
2015-02-24 22:00:00,13253,600.8486,600.3632,0,23.472,23.341,99.998,99.998,0.1938341,23.472,23.341,23.39763,99.99786,0,0.0005384281,0.0002984148
2015-02-24 23:00:00,13254,600.7875,600.4396,0,23.472,23.26,99.998,99.998,0.1373627,23.472,23.26,23.3635,99.99786,0,0.0003815631,0.0002987745
2015-02-25 00:00:00,13255,601.1295,600.7021,0.254,23.371,23.212,99.998,99.998,0.1373627,23.371,23.212,23.29213,99.99786,0.0025,0.0003815631,0.0002994588
2015-02-25 01:00:00,13256,601.1752,600.4365,0,23.402,23.292,99.998,99.998,0.2029916,23.402,23.292,23.34686,99.99786,0.02333333,0.0005638656,0.0002972446
2015-02-25 02:00:00,13257,601.1813,600.6227,0,23.35,23.212,99.998,99.998,0.2037547,23.35,23.212,23.2819,99.99786,0,0.0005659853,0.0002998548
2015-02-25 03:00:00,13258,601.2881,600.5769,0,23.312,23.222,99.998,99.998,0.1144689,23.312,23.222,23.2665,99.99786,0.1020139,0.0003179692,0.0002921431
2015-02-25 04:00:00,13259,601.3248,600.6349,0,23.392,23.251,99.998,99.998,0.1915447,23.392,23.251,23.31461,99.99786,0.2290973,0.0005320686,0.0002825503
2015-02-25 05:00:00,13260,601.3004,600.4945,0,23.402,23.191,99.998,99.998,0.2068072,23.402,23.191,23.31653,99.99786,0.3353473,0.0005744645,0.0002753576
2015-02-25 06:00:00,13261,601.2241,600.4152,0,23.232,23.05,99.998,99.998,0.235806,23.232,23.05,23.16971,99.99786,0.3883334,0.0006550168,0.0002734197
2015-02-25 07:00:00,13262,601.6545,600.2869,0,23.441,23.01,99.998,99.998,85.73953,23.441,23.01,23.15646,99.99786,0.7043056,0.2381654,0.0006853637
2015-02-25 08:00:00,13263,601.5568,600.2289,0.254,23.993,23.392,99.998,99.998,303.17,23.993,23.392,23.71913,99.99786,1.300486,0.8421388,0.001062599
2015-02-25 09:00:00,13264,601.8865,600.0671,13.208,23.944,23.572,99.998,99.998,221.8117,23.944,23.572,23.71177,99.99786,1.772639,0.6161436,0.0008845614
2015-02-25 10:00:00,13265,601.9139,599.9939,9.652,23.752,23.11,99.998,99.998,183.7754,23.752,23.11,23.28486,99.99786,1.736111,0.5104873,0.0008216163
2015-02-25 11:00:00,13266,601.8987,599.9908,2.54,23.993,23.171,99.998,99.908,602.7035,23.993,23.171,23.65298,99.99687,2.024375,1.674176,0.001562554
2015-02-25 12:00:00,13267,602.0482,600.1282,1.27,24.102,23.612,99.998,99.394,526.7259,24.102,23.612,23.78568,99.94318,2.016874,1.463127,0.001522711
2015-02-25 13:00:00,13268,602.3993,599.9939,0,25.716,24.093,99.998,91.75,1279.542,24.93501,23.98961,24.80779,96.96364,1.80368,3.554284,0.007918589
2015-02-25 14:00:00,13269,602.6557,600.0183,0,27.2,25.656,93.246,85.375,1793.748,25.21524,24.19531,26.63342,88.3838,2.552917,4.982635,0.0311693
2015-02-25 15:00:00,13270,602.5946,600.0366,0,27.9,26.558,88.886,80.894,1741.875,25.14303,23.52775,27.0286,84.34338,2.568334,4.838542,0.04114971
